accordion,225
adapter converter,190
address book,61
planner,61
adult toys,340
air bed,350
air bed pump,350
airpods/case,422
alarm clock,175
android,184
android phone,184
blackberry,184
windows phone,184
other smartphone,184
appliances,259
apron,469
art,240
poster,240
assorted items,358
award,516
trophy,516
baby bathtub,488
baby bib,482
baby bottle,87
baby carrier,481
baby changing pad,484
baby changing equipment,484
baby monitor,489
back pillows,372
backpack,135
badge,319
baggage,463
balaclava,301
ski mask,301
banjo,222
baseball,91
baseball glove,540
basketball,364
batteries,325
beanie,44
toque,44
bed sheets,349
belt,3
belt buckle,107
benefit card,461
insurance card,461
beret,45
betting ticket,419
lottery ticket,419
beverage,306
bible,283
religious book,283
bicycle,241
bicycle helmet,53
billiards balls,544
billiards chalk,543
billiards stick,542
pool cue,542
binder,361
binoculars,242
birth certificate,304
blankets,178
blender,332
bluray,208
body board,478
body wash,324
face wash,324
book,55
comics,55
booster seat,485
boots,32
bottle opener,517
bow,380
bowl,267
bowling ball,89
box,233
brace,70
bracelet,99
wristlet,99
breast pump,311
breathing device,71
CPAP,71
briefcase,457
brooch,102
brush,118
business card holder,151
business papers,57
cables,191
calculator,185
calendar,60
camera,187
camera case,136
camera lens,383
camera accessories,383
camping chair,420
camping gear,413
candle,467
candy,269
cane,74
walking stick,74
cap,47
cash receipt,338
casino chip,282
poker chip,282
cat,216
CBD products,507
cd,209
cell phone case,327
certificate,309
chain,106
chair,513
stool,513
charger,181
charm,373
check,462
money order,462
checkbook,69
child car seat,134
child leash,487
child potty,483
child toilet seat,483
christian cross,108
cross,108
cigar,275
cigarette case,154
cigarette lighter,153
cigarettes,155
clarinet,226
cleats,549
clothes steamer,418
clothing,245
clothes,245
club head covers,369
golf club covers,369
club membership card,442
coat,5
jacket,5
blazer,5
coffee cup,293
coffee grinder,262
coffee maker,160
coins,337
cologne,120
comb,117
commemorative coin,538
communion items,312
compact  mirror,125
compass,342
computer monitor,356
conditioner,443
contact lens,144
contact lens case,138
contact lens solution,126
contraceptives,159
convention bag,142
convention item,444
cooler,139
corkscrew,161
cornhole bags,546
cornhole board,545
cosmetics,250
makeup,250
costume,492
costume accessories,492
coverup,363
credit card,66
debit card,66
cross body bag,537
messenger bag,537
crown,109
tiara,109
crutches,336
cuff links,110
curling iron,276
cylinder,274
tube,274
decorations,508
ornaments,508
dental retainer,82
mouthguard,82
dentures,78
false teeth,78
deodorant,127
diabetic kit,76
diaper bag,133
diapers,387
digipass,440
digital media player,200
Amazon firestick,200
Google chromecast,200
disney autograph book,430
disney bubble wands,427
disney hats,424
disney lanyards,429
disney lightsabers (collapsible),526
disney lightsabers (non-collapsible),428
disney magicbands,425
disney minnie/mickey ears,423
mickey mouse ears,423
minnie mouse ears,423
mouse ears,423
disney souvenir,431
disney trading pins,426
diving equipment,392
dog,215
dress,6
skirt,6
drink koozie,510
drinking cup,85
drinking glass,84
drivers license,65
ID,65
driving school photo,436
driving school lanyard,436
drone,396
drum,220
drumsticks,221
duffle bag,132
dvd,210
dvd player,192
earbuds,194
earmuffs,13
earrings,100
piercings,100
easy pass transponder,326
easy pass,326
electric shaver,114
hair clippers,114
electric toothbrush,113
electronic cigarette,156
vape,156
vape accessories,156
vape pen,156
ecig,156
electronics,386
envelope,62
epic pass,446
essential oils,503
scent diffuser,503
eye drops,128
face mask,475
fan,164
misting fan,164
fanny pack,140
fishing rods,303
fitness device,271
portable pilates studio,271
resistance bands,271
massager,271
theragun,271
trainer,271
jump rope,271
flag,468
flash drive,252
flashlight,165
flask,88
flat iron,167
flip flops,294
flute,223
folder,64
food,148
football,90
other footwear,466
foreign currency,339
euro,339
pesos,339
€,339
frequent flier card,286
frisbee disc,96
game,214
playing cards,214
Pokemon cards,214
garage door opener,500
garment bag,237
gift bag,141
giftcard,207
glasses case,284
sunglasses case,284
global entry card,305
gloves,25
glucose meter,77
golf bag,93
golf balls,95
golf clubs,92
golf gloves,368
google glass,279
gopro,258
gopro accessories,258
gps,198
gps tracking devices,533
airtag,533
guitar,219
hair dryer,119
hair extensions,359
hair gel,323
hair pin,104
hair clip,104
hair straightener,521
hairspray,344
hand sanitizer,474
handheld games ,196
hard drive,251
hardhat,388
harmonica,227
hat,48
head band,51
head scarf,54
headphone case,415
headphones,193
headwear,313
bindi,313
other headwear,390
hearing aid,79
heating pad,170
high heels,331
heels,331
hockey equipment,394
hoodie,398
hot pot,333
hot plate,333
wifi hotspot,197
router,197
hoverboard,520
humidifier,171
hydroflask,548
permanent resident card,310
employee ID card,320
federal ID card,541
membership ID card,346
nametag ID card,346
other ID card,346
military ID card,318
state issued ID card,248
student ID card,460
holder for ID card,459
inflatable device,552
flotation device,552
life vest,552
floaties,552
inhaler,80
insulin,81
ipad,218
iphone,231
ipod,189
jeans,397
other jewelry,473
multiple types of jewelry,244
journal,273
diary,273
kennel,234
key chain,381
keyboard,202
keys,177
car key,177
kindle,211
ereader device,211
knife,378
knitting supplies,514
sewing supplies,514
kobo,414
lanyard,453
laptop,183
chromebook,183
laptop case,321
laundry bag,137
leatherman,341
multi tool,341
lego sword,434
legoland annual pass,437
legoland lanyard,433
legoland photo,435
liquor,270
lotion,124
luggage strap,402
luggage tag,402
lunch bag,365
lunchbox,365
macbook,247
magazine,263
magnet,409
magnified makeup mirror,354
magnifying glass,172
mail,495
letter,495
correspondence,495
manicure kit,123
other medical supplies,265
blood pressure monitor,265
medical prescriptions,72
prescription drugs,72
merlin annual pass,438
mirror,534
other toiletries,243
Water Pik,243
water flosser,243
mittens,300
money,206
cash,206
$20 bill,206
U.S. currency,206
money clip,152
motorcycle helmet,389
mouse,278
mta metrocard,451
mta metrocard - disability,496
mta metrocard - employee,524
mta metrocard - senior,479
mta metrocard - student,497
multiple items,385
other musical instrument,465
musical accessories,465
nail clippers,158
nail polish,522
neck gaiter,302
neck pillow,401
necklace,103
night light,166
nintendo,376
noise machine,499
non-returnable,404
nook,268
not listed,217
notebook,58
notepad,58
novelty currency,408
play money,408
other nyct equipment,450
nylons,31
oculus,277
over the counter drugs,539
OTC meds,539
pacifier,480
paddle,551
pants,2
paper bag,529
passport,68
pedometer,203
pen,162
pencil,162
pendant,111
perfume,121
permit,334
pet carrier,528
pet collar,213
pet leash,384
photo,63
photography equipment,393
tripod,393
SD card,393
piano / keyboard,445
picture frame,518
pill case,494
pillow case,348
pillows,179
pin,105
pipe,173
plastic bag,307
plates,295
dishware,295
play pen,486
playstation,374
pocketbook,149
purse,149
portable crib,335
portable heater,501
portfolio,236
pots and pans,296
pouch,272
power bank,328
power strip,328
surge protector,328
prescription glasses,146
eyeglasses,146
printer,188
projector,205
public transit pass,531
transit card,531
other purse,131
other bag,131
rain coat,498
poncho,498
range finder,370
rap pass,439
razor,115
reading glasses,145
redtag item,530
other religious item,322
remote,329
rewards card,441
ring,101
wedding band,101
robe,16
roller bag,421
romper,511
rosary,174
rosary beads,314
safe recovery video or pictures,407
sandals,34
crocs,34
saxophone,230
scale,347
scarf,12
scissors,509
scooter,458
scriptures,315
bibles,315
quran,315
other religious books,315
scrolls,281
season pass,298
seat cushions,371
selfie stick,289
shampoo,116
shaving cream,122
shawl,330
shipping package,512
Fedex/UPS/USPS/Amazon package,512
shirt,1
undershirt,1
tank top,1
top,1
shoes,40
watershoes,40
flats,40
shopping bag,308
shorts,10
shot glass,239
sippy cup,86
skateboard,353
other ski equipment,264
ski goggles,291
ski helmet,255
ski poles,254
skis,253
sleep mask,515
eye mask,515
sleeping bag,550
sleepwear,11
PJs,11
pajamas,11
slippers,36
slot machine voucher,288
smart watch,357
sneakers,33
gym shoes,33
tennis shoes,33
snorkel gear,97
snow pants,299
snowboard,256
snowboard boots,257
soccer ball,399
social security card,395
socks,18
other souvenir,410
speakers,199
stand-up paddle board,477
stationery supplies,464
greeting cards,464
thank you cards,464
postcard,464
