accordion,225
adapter converter,190
address book or planner,61
adult toys,340
air bed or pump,350
airpods/case,422
alarm clock,175
android- blackberry- windows- other,184
appliances,259
apron,469
art,240
assorted items,358
award or trophy,516
baby bathtub,488
baby bib,482
baby bottle,87
baby carrier,481
baby changing pad or equipment,484
baby monitor,489
back pillows,372
backpack,135
badge,319
baggage - other,463
balaclava,301
banjo,222
baseball,91
baseball glove,540
basketball,364
batteries,325
beanie,44
bed sheets,349
belt,3
belt buckle,107
benefit or insurance card,461
beret,45
betting or lottery ticket,419
beverage - other,306
bibles - religious books,283
bicycle,241
bicycle helmet,53
billiards balls,544
billiards chalk,543
billiards stick,542
binder,361
binoculars,242
birth certificate,304
blankets,178
blender,332
bluray,208
body board,478
body or face wash,324
book,55
booster seat,485
boots,32
bottle opener,517
bow,380
bowl,267
bowling ball,89
box,233
brace,70
bracelet or wristlet,99
breast pump,311
breathing device or cpap,71
briefcase,457
brooch,102
brush,118
business card holder,151
business papers,57
cables,191
calculator,185
calendar,60
camera,187
camera case,136
camera lens or accessories,383
camping chair,420
camping gear,413
candle,467
candy,269
cane or walking stick,74
cap,47
cash receipt,338
casino chip,282
cat,216
cbd products,507
cd,209
cell phone case,327
certificate(s),309
chain,106
chair or stool,513
charger,181
charm,373
check or money order,462
checkbook,69
child car seat,134
child leash,487
child potty or toilet seat,483
christian cross,108
cigar,275
cigarette case,154
cigarette lighter,153
cigarettes,155
clarinet,226
cleats,549
clothes steamer,418
clothing - other,245
club head covers,369
club membership card,442
coat - jacket,5
coffee cup,293
coffee grinder,262
coffee maker,160
coins,337
cologne,120
comb,117
commemorative coin,538
communion items,312
compact  mirror,125
compass,342
computer monitor,356
conditioner,443
contact lens,144
contact lens case,138
contact lens solution,126
contraceptives,159
convention bag,142
convention item,444
cooler,139
corkscrew,161
cornhole bags,546
cornhole board,545
cosmetics or makeup,250
costume or costume accessories,492
coverup,363
credit or debit card,66
cross body bag,537
crown- tiara,109
crutches,336
cuff links,110
curling iron,276
cylinder/tube,274
decorations or ornaments,508
dental retainer,82
dentures false teeth,78
deodorant,127
diabetic kit,76
diaper bag,133
diapers,387
digipass,440
digital media player,200
disney autograph book,430
disney bubble wands,427
disney hats,424
disney lanyards,429
disney lightsabers (collapsible),526
disney lightsabers (non-collapsible),428
disney magicbands,425
disney minnie/mickey ears,423
disney souvenir,431
disney trading pins,426
diving equipment,392
dog,215
dress -  skirt,6
drink koozie,510
drinking cup,85
drinking glass,84
drivers license,65
driving school photo & lanyard,436
drone,396
drum,220
drumsticks,221
duffle bag,132
dvd,210
dvd player,192
earbuds,194
earmuffs,13
earrings or piercings,100
easy pass transponder,326
electric shaver or clippers,114
electric toothbrush,113
electronic cigarette or vape accessories,156
electronics - other,386
envelope,62
epic pass,446
essential oils or diffuser,503
eye drops,128
face mask,475
fan,164
fanny pack,140
fishing rods,303
fitness device,271
flag,468
flash drive,252
flashlight,165
flask,88
flat iron,167
flip flops,294
flute,223
folder,64
food,148
football,90
footwear - other,466
foreign currency,339
frequent flier card,286
frisbee disc,96
game,214
garage door opener,500
garment bag,237
gift bag,141
giftcard,207
glasses case,284
global entry card,305
gloves,25
glucose meter,77
golf bag,93
golf balls,95
golf clubs,92
golf gloves,368
google glass,279
gopro or gopro accessories,258
gps,198
gps tracking devices,533
guitar,219
hair dryer,119
hair extensions,359
hair gel,323
hair pin or clip,104
hair straightener,521
hairspray,344
hand sanitizer,474
handheld games ,196
hard drive,251
hardhat,388
harmonica,227
hat,48
head band,51
head scarf,54
headphone case,415
headphones,193
headwear,313
headwear - other,390
hearing aid,79
heating pad,170
high heels,331
hockey equipment,394
hoodie,398
hot pot or hot plate,333
hotspot,197
hoverboard,520
humidifier,171
hydroflask,548
id card -  permanent resident,310
id card - employee,320
id card - federal,541
id card - membership or nametag or other ,346
id card - military,318
id card - state issued,248
id card - student,460
id holder,459
inflatable/flotation device,552
inhaler,80
insulin,81
ipad,218
iphone,231
ipod,189
jeans,397
jewelry - other,473
jewelry multiple types,244
journal/diary,273
kennel,234
key chain,381
keyboard,202
keys,177
kindle or ereader device,211
knife,378
knitting or sewing supplies,514
kobo,414
lanyard,453
laptop,183
laptop case,321
laundry bag,137
leatherman multi tool,341
lego sword,434
legoland annual pass,437
legoland lanyard,433
legoland photo,435
liquor,270
lotion,124
luggage strap or tag,402
lunch bag or box,365
macbook,247
magazine,263
magnet,409
magnified makeup mirror,354
magnifying glass,172
mail or letter or correspondence,495
manicure kit,123
medical - other,265
medical prescriptions,72
merlin annual pass,438
mirror,534
misc toiletries,243
mittens,300
money,206
money clip,152
motorcycle helmet,389
mouse,278
mta metrocard,451
mta metrocard - disability,496
mta metrocard - employee,524
mta metrocard - senior,479
mta metrocard - student,497
multiple items,385
musical instruments or accessories - other,465
nail clippers,158
nail polish,522
neck gaiter,302
neck pillow,401
necklace,103
night light,166
nintendo,376
noise machine,499
non-returnable,404
nook,268
not listed,217
notebook,58
novelty currency,408
nyct equipment - other,450
nylons,31
oculus,277
over the counter drugs,539
pacifier,480
paddle,551
pants,2
paper bag,529
passport,68
pedometer,203
pen or pencil,162
pendant,111
perfume,121
permit,334
pet carrier,528
pet collar,213
pet leash,384
photo,63
photography equipment,393
piano / keyboard,445
picture frame,518
pill case,494
pillow case,348
pillows,179
pin,105
pipe,173
plastic bag,307
plates or dishware,295
play pen,486
playstation,374
pocketbook/purse,149
portable crib,335
portable heater,501
portfolio,236
pots and pans,296
pouch,272
power bank / power strip,328
prescription glasses,146
printer,188
projector,205
public transit pass,531
purse or bag,131
rain coat or poncho,498
range finder,370
rap pass,439
razor,115
reading glasses,145
redtag item,530
religious - other,322
remote,329
rewards card,441
ring,101
robe,16
roller bag,421
romper,511
rosary,174
rosary beads,314
safe recovery video or pictures,407
sandals,34
saxophone,230
scale,347
scarf,12
scissors,509
scooter,458
scriptures - bibles- etc.,315
scrolls,281
season pass,298
seat cushions,371
selfie stick,289
shampoo,116
shaving cream,122
shawl,330
shipping package - fedex- ups- usps- etc.,512
shirt,1
shoes,40
shopping bag,308
shorts,10
shot glass,239
sippy cup,86
skateboard,353
ski boots,290
ski equipment - other,264
ski goggles,291
ski helmet,255
ski poles,254
skis,253
sleep mask,515
sleeping bag,550
sleepwear,11
slippers,36
slot machine voucher,288
smart watch,357
sneakers,33
snorkel gear,97
snow pants,299
snowboard,256
snowboard boots,257
soccer ball,399
social security card,395
socks,18
souvenir - other,410
speakers,199
stand-up paddle board,477
stationery supplies,464
storage container | tote,232
stroller,351
stuffed toy,297
stylus pen,352
suit,8
suit bag,130
suitcase,129
sun visor,50
sunblock cream,343
sunglasses,143
surfboard,476
sweater,246
sweatpants,547
sweats - workout,14
sweatshirt,367
swim goggles,147
swimming equipment,98
swimwear,15
t-shirt,382
tablecloth,502
tablet,182
tallit bag,316
tefillin or phylacteries ,523
tennis balls,292
tennis or sports racket,94
tents,411
thermometer,506
thermos,491
tickets - airline,472
tickets - entertainment or sports,471
tickets - lirr tickets,448
tickets - metro north,452
tickets - nj transit,447
tickets - transit check,449
tickets (other),536
tie,17
tie clip,456
toiletry bag,345
toolbox,235
tools,391
toothbrush,112
toothpaste,535
tote,362
toupee wig,150
towels,180
toy,212
travel mug,83
trekking poles,412
trumpet,224
tsa luggage lock ,403
tumbler or shaker,490
tupperware,504
ukulele,229
umbrella,157
uncategorized,525
underwear,23
uniform,493
urn or vase,280
utensils,260
vaccine card,527
vest,27
video camera or video equipment,186
violin,379
vitamins,73
volleyball,416
waist trainer,519
walker,75
walkie talkies,377
wallet,67
wand,405
watch,176
water bottle,366
wheelchair or accessories,505
whistle,228
wig,150
wine,417
wipes,355
wireless headset,204
wristwatch,176
xbox,375
yarmulke/kippahs,317
yoga mat,400
